agent,flops_step,memory_bytes,t
epsgreedy,1,0,428
epsgreedy,1,0,429
epsgreedy,1,0,430
epsgreedy,1,0,431
epsgreedy,1,0,432
epsgreedy,1,0,433
epsgreedy,1,0,434
epsgreedy,1,0,435
epsgreedy,1,0,436
epsgreedy,1,0,437
epsgreedy,1,0,438
epsgreedy,1,0,439
epsgreedy,1,0,440
epsgreedy,1,0,441
epsgreedy,1,0,442
epsgreedy,1,0,443
epsgreedy,1,0,444
epsgreedy,1,0,445
epsgreedy,1,0,446
epsgreedy,1,0,447
epsgreedy,1,0,448
epsgreedy,1,0,449
epsgreedy,1,0,450
epsgreedy,1,0,451
epsgreedy,1,0,452
epsgreedy,1,0,453
epsgreedy,1,0,454
epsgreedy,1,0,455
epsgreedy,1,0,456
epsgreedy,1,0,457
epsgreedy,1,0,458
epsgreedy,1,0,459
epsgreedy,1,0,460
epsgreedy,1,0,461
epsgreedy,1,0,462
epsgreedy,1,0,463
epsgreedy,1,0,464
epsgreedy,1,0,465
epsgreedy,1,0,466
epsgreedy,1,0,467
epsgreedy,1,0,468
epsgreedy,1,0,469
epsgreedy,1,0,470
epsgreedy,1,0,471
epsgreedy,1,0,472
epsgreedy,1,0,473
epsgreedy,1,0,474
epsgreedy,1,0,475
epsgreedy,1,0,476
epsgreedy,1,0,477
epsgreedy,1,0,478
epsgreedy,1,0,479
epsgreedy,1,0,480
epsgreedy,1,0,481
epsgreedy,1,0,482
epsgreedy,1,0,483
epsgreedy,1,0,484
epsgreedy,1,0,485
epsgreedy,1,0,486
epsgreedy,1,0,487
epsgreedy,1,0,488
epsgreedy,1,0,489
epsgreedy,1,0,490
epsgreedy,1,0,491
epsgreedy,1,0,492
epsgreedy,1,0,493
epsgreedy,1,0,494
epsgreedy,1,0,495
epsgreedy,1,0,496
epsgreedy,1,0,497
epsgreedy,1,0,498
epsgreedy,1,0,499
epsgreedy,1,0,500
