agent,flops_step,memory_bytes,t
co:CO_router,1,0,340
co:CO_router,1,0,341
co:CO_router,1,0,342
co:CO_router,1,0,343
co:CO_router,1,0,344
co:CO_router,1,0,345
co:CO_router,1,0,346
co:CO_router,1,0,347
co:CO_router,1,0,348
co:CO_router,1,0,349
co:CO_router,1,0,350
co:CO_router,1,0,351
co:CO_router,1,0,352
co:CO_router,1,0,353
co:CO_router,1,0,354
co:CO_router,1,0,355
co:CO_router,1,0,356
co:CO_router,1,0,357
co:CO_router,1,0,358
co:CO_router,1,0,359
co:CO_router,1,0,360
co:CO_router,1,0,361
co:CO_router,1,0,362
co:CO_router,1,0,363
co:CO_router,1,0,364
co:CO_router,1,0,365
co:CO_router,1,0,366
co:CO_router,1,0,367
co:CO_router,1,0,368
co:CO_router,1,0,369
co:CO_router,1,0,370
co:CO_router,1,0,371
co:CO_router,1,0,372
co:CO_router,1,0,373
co:CO_router,1,0,374
co:CO_router,1,0,375
co:CO_router,1,0,376
co:CO_router,1,0,377
co:CO_router,1,0,378
co:CO_router,1,0,379
co:CO_router,1,0,380
co:CO_router,1,0,381
co:CO_router,1,0,382
co:CO_router,1,0,383
co:CO_router,1,0,384
co:CO_router,1,0,385
co:CO_router,1,0,386
co:CO_router,1,0,387
co:CO_router,1,0,388
co:CO_router,1,0,389
co:CO_router,1,0,390
co:CO_router,1,0,391
co:CO_router,1,0,392
co:CO_router,1,0,393
co:CO_router,1,0,394
co:CO_router,1,0,395
co:CO_router,1,0,396
co:CO_router,1,0,397
co:CO_router,1,0,398
co:CO_router,1,0,399
co:CO_router,1,0,400
co:CO_router,1,0,401
co:CO_router,1,0,402
co:CO_router,1,0,403
co:CO_router,1,0,404
co:CO_router,1,0,405
co:CO_router,1,0,406
co:CO_router,1,0,407
co:CO_router,1,0,408
co:CO_router,1,0,409
co:CO_router,1,0,410
co:CO_router,1,0,411
co:CO_router,1,0,412
co:CO_router,1,0,413
co:CO_router,1,0,414
co:CO_router,1,0,415
co:CO_router,1,0,416
co:CO_router,1,0,417
co:CO_router,1,0,418
co:CO_router,1,0,419
co:CO_router,1,0,420
co:CO_router,1,0,421
co:CO_router,1,0,422
co:CO_router,1,0,423
co:CO_router,1,0,424
co:CO_router,1,0,425
